blind_id,artist,track_title,collection,preview_url,source_query
p0017.ogg,Collegium Vocale Gent & Philippe Herreweghe,"Cantata No. 29, ""Wir Danken Dir, Gott, Wir Danken Dir"", BWV 29: No. 1. Sinfonia","Bach: Cantatas BWV 29, 119 & 120",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/4c/e9/fb/4ce9fb60-e2d7-618f-ef03-98dc8d224c40/mzaf_5854073310212986255.plus.aac.p.m4a,baroque classical
p0018.ogg,Víkingur Ólafsson,"Goldberg Variations, BWV 988: Aria",J. S. Bach: Goldberg Variations,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/4a/26/87/4a268794-82ba-c9ff-c5b2-a5238a33237a/mzaf_7121046192339946178.plus.aac.p.m4a,baroque classical
p0019.ogg,Jean-Guihen Queyras,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Bach: Complete Cello Suites,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/50/1b/81/501b81bd-a364-9b50-4d46-fa35065dc408/mzaf_9384866321833343156.plus.aac.p.m4a,baroque classical
p0020.ogg,"James Bowman, Academy of Ancient Music & Christopher Hogwood","Nisi Dominus (Psalm 126), R. 608: IV. ""Cum dederit"" (Andante)",Vivaldi: Stabat Mater - Concerto in G Minor - Nisi Dominus,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/1b/ec/0a/1bec0a86-2b67-7495-24e3-5bd05d903ec8/mzaf_8176423854070752498.plus.aac.p.m4a,baroque classical
p0021.ogg,Glenn Gould,"Goldberg Variations, BWV 988 (1955 Recording): Aria","Bach: Goldberg Variations, BWV 988 (The 1955 & 1981 Recordings)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/eb/af/19/ebaf1951-bd44-9526-f240-b73ff37168e9/mzaf_11387021779103602260.plus.aac.p.m4a,baroque classical
p0022.ogg,Igor Levit,"10 Chorale Preludes, BV B 27: No. 5, Ich ruf zu dir, Herr Jesu Christ, BWV 639",Encounter,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/e9/7d/eb/e97deb39-214d-513b-2d1b-8e1dbe675a72/mzaf_5494983721742235652.plus.aac.p.m4a,baroque classical
p0023.ogg,"Eriko Sato, Orpheus Chamber Orchestra & Edward Brewer",Adagio for Strings and Organ in G Minor: Adagio - Beginning,Albinoni: Adagio,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/3f/31/c2/3f31c2d1-03ac-7e94-4d61-485deb2206ea/mzaf_14708577136086904809.plus.aac.p.m4a,baroque classical
p0024.ogg,Yunchan Lim,"Goldberg Variations, BWV 988: Var. 15. Canone alla Quinta a 1 Clav. Andante (Live at Carnegie Hall, New York, 2025)","J.S. Bach: Goldberg Variations (Live at Carnegie Hall, New York, 2025)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/a5/d8/0f/a5d80f04-da62-842c-3d8f-bf0518b2a0d4/mzaf_311557643763905323.plus.aac.p.m4a,baroque classical
p0025.ogg,"Sara Mingardo, Furio Zanasi, Le Concert des Nations, Jordi Savall, Adriana Fernandez, Gloria Banditelli, Cinzia Forte & Fulvio Bettini","Farnace, RV 711: Sinfonia: II. Andante-Allegro",Vivaldi: Farnace,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/21/e9/2f/21e92f10-1e51-b810-c5d5-a92332499584/mzaf_8966672310732532731.plus.aac.p.m4a,baroque classical
p0026.ogg,Les Chambristes de Ville-Marie,"Motet O qui coeli terræque in E flat major for soprano, strings and continuo: 3 Aria (largo)",Vivaldi: Motets for soprano,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/11/64/3c/11643c15-6e56-ff12-639f-179bf723be8f/mzaf_13697702064860308400.plus.aac.p.m4a,baroque classical
p0027.ogg,Lise de la Salle,Fantaisie Chromatique en Ré Mineur BWV 903,Bach - Liszt,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/b3/a2/7c/b3a27c6a-6896-2af4-92a1-ba5519e92d12/mzaf_150660639722485352.plus.aac.p.m4a,baroque classical
p0028.ogg,Daniil Trifonov,"The Art Of Fugue, BWV 1080: [Contrapunctus 14] (Compl. by Daniil Trifonov)",BACH: The Art of Life,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/5a/67/49/5a67495f-e3c9-f264-705b-d23f1a370586/mzaf_7573540038261803586.plus.aac.p.m4a,baroque classical
p0029.ogg,"Janine Jansen, Candida Thompson, Henk Rubingh, Julian Rachlin, Stacey Watton, Maarten Jansen, Liz Kenny & Jan Jansen","The Four Seasons, Concerto No. 1 in E Major, RV 269 ""Spring"": I. Allegro",Vivaldi: The Four Seasons,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f2/8f/68/f28f6895-7a06-d31a-44dd-793547a6df51/mzaf_12653726587337334056.plus.aac.p.m4a,baroque classical
p0030.ogg,Freiburger Barockorchester,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Aria",J.S. Bach: Orchestral Suites Nos. 1-4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/8f/e5/03/8fe503d7-605b-8b7b-6c77-dc823fb0e494/mzaf_9565283719798726306.plus.aac.p.m4a,baroque classical
p0031.ogg,"Avi Avital, Alon Sariel & Venice Baroque Orchestra","Concerto for 2 Mandolins in G Major, RV 532: III. Allegro",Art of the Mandolin,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a3/a5/90/a3a5902f-1c21-6db5-1927-1a4784ac5ba9/mzaf_15212870291362660754.plus.aac.p.m4a,baroque classical
p0032.ogg,"Andreas Scholl, Chiara Banchini & Ensemble 415","Stabat Mater in F Minor, RV 621: IV. Quis Est Homo",Vivaldi: Stabat Mater,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5f/28/d1/5f28d1fc-f3c8-7811-19d9-59a9b01c4d75/mzaf_8202702480054975886.plus.aac.p.m4a,baroque classical
p0033.ogg,"La Serenissima, Adrian Chandler, Gail Hennessy & Rachel Chaplin","Concerto for Strings in G Major, RV 151 ""Alla Rustica"": I. Presto",The Italian Job,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c7/e6/03/c7e603db-8cb2-b715-e92b-3d73312f1bee/mzaf_16941706914638626085.plus.aac.p.m4a,baroque classical
p0034.ogg,"Jakub Józef Orliński, Francesco Corti & Il Pomo d'Oro",Laudate pueri: IV. Gloria,Anima Aeterna,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/78/fa/bc/78fabcb0-99c1-e0a3-dc05-4a105f0546e7/mzaf_2031020019911045512.plus.aac.p.m4a,baroque classical
p0035.ogg,"Alexis Kossenko, Le Jeune Choeur de Paris, Les Ambassadeurs & Sabine Devieilhe","Les Indes Galantes: ""Forêts paisibles"" (Les sauvages)",Rameau: Le Grand Théâtre de l'amour,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/77/ce/86/77ce86c8-6516-1453-095e-20aa79e66b98/mzaf_5442533805782989022.plus.aac.p.m4a,baroque classical
